"ref_date","geo","dguid","field","value"
"2016/2017","Toronto","535","Visual and performing arts, and communications technologies",6827
"2016/2017","Toronto","535","Humanities",6491
"2016/2017","Toronto","535","Social and behavioural sciences, and legal studies",6453
"2016/2017","Toronto","535","Law",28250
"2016/2017","Toronto","535","Business management and public administration",8822
"2016/2017","Toronto","535","Physical and life sciences and technologies",8387
"2016/2017","Toronto","535","Mathematics, computer and information sciences",8070
"2016/2017","Toronto","535","Engineering",12244
"2016/2017","Toronto","535","Architecture",7595
"2016/2017","Toronto","535","Agriculture, natural resources and conservation",6469
"2016/2017","Toronto","535","Dentistry",37380
"2016/2017","Toronto","535","Medicine",22955
"2016/2017","Toronto","535","Nursing",6669
"2016/2017","Toronto","535","Pharmacy",18210
"2016/2017","Toronto","535","Other health, parks, recreation and fitness",7195
"2016/2017","Toronto","535","Personal, protective and transportation services",7957
"2016/2017","Oshawa","532","Total, field of study",7474
"2016/2017","Oshawa","532","Education",6359
"2016/2017","Oshawa","532","Social and behavioural sciences, and legal studies",6359
"2016/2017","Oshawa","532","Business management and public administration",8070
"2016/2017","Oshawa","532","Physical and life sciences and technologies",6359
"2016/2017","Oshawa","532","Mathematics, computer and information sciences",9378
"2016/2017","Oshawa","532","Engineering",9269
"2016/2017","Oshawa","532","Nursing",6359
