"year","geo","dguid","age","type","value"
2021,"Newfoundland and Labrador","10","45 to 49","total",170
2021,"Newfoundland and Labrador","10","45 to 49","health care and related",80
2021,"Newfoundland and Labrador","10","45 to 49","hospitals",0
2021,"Newfoundland and Labrador","10","45 to 49","nursing homes",15
2021,"Newfoundland and Labrador","10","45 to 49","senior residences",10
2021,"Newfoundland and Labrador","10","45 to 49","mix of nursing home and senior residences",20
2021,"Newfoundland and Labrador","10","45 to 49","residential care facilities",40
2021,"Newfoundland and Labrador","10","45 to 49","correctional facilities",50
2021,"Newfoundland and Labrador","10","45 to 49","shelters",5
2021,"Newfoundland and Labrador","10","45 to 49","service collective",25
2021,"Newfoundland and Labrador","10","45 to 49","lodging and rooming houses",15
2021,"Newfoundland and Labrador","10","45 to 49","hotels, motels, and temporary accommodation",5
2021,"Newfoundland and Labrador","10","45 to 49","other service collective",0
2021,"Newfoundland and Labrador","10","45 to 49","religious establishments",5
2021,"Newfoundland and Labrador","10","45 to 49","hutterite colonies",0
2021,"Newfoundland and Labrador","10","45 to 49","other",10
2021,"Newfoundland and Labrador","10","50 to 54","total",245
2021,"Newfoundland and Labrador","10","50 to 54","health care and related",150
2021,"Newfoundland and Labrador","10","50 to 54","hospitals",10
2021,"Newfoundland and Labrador","10","50 to 54","nursing homes",50
2021,"Newfoundland and Labrador","10","50 to 54","senior residences",10
2021,"Newfoundland and Labrador","10","50 to 54","mix of nursing home and senior residences",5
2021,"Newfoundland and Labrador","10","50 to 54","residential care facilities",80
2021,"Newfoundland and Labrador","10","50 to 54","correctional facilities",40
