"dguid","char","period","total","o","om","onm","r","rs","rns"
1011,"Total","2016 to 2021",75,55,10,45,15,0,10
1011,"1+ person with limitation","Total",60,40,10,35,15,10,10
1011,"1+ person with limitation","Before 2016",55,40,10,35,15,10,10
1011,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1011,"Veteran in household","Total",20,20,10,15,0,0,0
1011,"Veteran in household","Before 2016",15,15,10,10,0,0,0
1011,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1011,"0.5% or under","Total",510,460,10,455,50,25,30
1011,"0.5% or under","Before 2016",475,425,10,415,50,20,25
1011,"0.5% or under","2016 to 2021",40,40,0,40,0,0,0
1011,"0.6% to 1.25%","Total",200,115,25,85,90,25,60
1011,"0.6% to 1.25%","Before 2016",180,105,25,85,75,25,50
1011,"0.6% to 1.25%","2016 to 2021",20,0,0,0,15,0,10
1011,"1.26% to 2%","Total",50,40,30,10,10,0,10
1011,"1.26% to 2%","Before 2016",40,35,30,10,10,0,10
1011,"1.26% to 2%","2016 to 2021",10,10,10,0,0,0,0
1011,"2.1% to 3%","Total",10,10,10,0,0,0,0
1011,"2.1% to 3%","Before 2016",10,10,0,0,0,0,0
1011,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1011,"3.1% or over","Total",0,0,10,0,0,0,0
1011,"3.1% or over","Before 2016",0,0,10,0,0,0,0
1011,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1101,"Total","Total",7505,6055,2850,3210,1450,475,975
1101,"Total","Before 2016",7065,5685,2585,3100,1375,440,930
1101,"Total","2016 to 2021",445,365,260,105,80,35,40
1101,"1+ person with limitation","Total",740,610,445,170,135,30,105
1101,"1+ person with limitation","Before 2016",665,545,380,165,120,25,95
1101,"1+ person with limitation","2016 to 2021",75,65,60,0,0,0,0
1101,"Veteran in household","Total",345,300,160,140,50,25,25
1101,"Veteran in household","Before 2016",320,270,135,130,50,25,25
1101,"Veteran in household","2016 to 2021",25,25,20,0,0,0,0
1101,"0.5% or under","Total",1885,1635,20,1615,250,95,160
1101,"0.5% or under","Before 2016",1800,1555,0,1545,250,95,160
1101,"0.5% or under","2016 to 2021",85,85,0,75,0,0,0
1101,"0.6% to 1.25%","Total",3015,2285,785,1505,730,290,440
1101,"0.6% to 1.25%","Before 2016",2935,2225,750,1475,710,275,435
1101,"0.6% to 1.25%","2016 to 2021",80,60,30,30,20,0,0
1101,"1.26% to 2%","Total",1870,1450,1390,60,415,90,330
1101,"1.26% to 2%","Before 2016",1730,1355,1290,60,375,65,310
1101,"1.26% to 2%","2016 to 2021",145,95,95,0,45,20,25
1101,"2.1% to 3%","Total",535,490,470,25,45,0,45
1101,"2.1% to 3%","Before 2016",455,425,405,25,35,0,35
1101,"2.1% to 3%","2016 to 2021",75,60,60,0,0,0,0
1101,"3.1% or over","Total",200,200,200,0,0,0,0
1101,"3.1% or over","Before 2016",135,130,130,0,0,0,0
1101,"3.1% or over","2016 to 2021",65,65,65,0,0,0,0
1102,"Total","Total",36645,23840,14130,9715,12805,1935,10875
1102,"Total","Before 2016",33465,22115,12845,9265,11350,1760,9595
1102,"Total","2016 to 2021",3180,1720,1280,445,1455,175,1280
1102,"1+ person with limitation","Total",4390,2940,2160,775,1450,90,1365
1102,"1+ person with limitation","Before 2016",4055,2715,1960,755,1335,85,1250
1102,"1+ person with limitation","2016 to 2021",335,225,200,25,115,0,110
1102,"Veteran in household","Total",2140,1595,855,740,550,65,485
1102,"Veteran in household","Before 2016",2010,1510,795,715,505,60,440
1102,"Veteran in household","2016 to 2021",125,85,55,25,50,0,40
1102,"0.5% or under","Total",4750,3790,75,3715,960,475,485
1102,"0.5% or under","Before 2016",4465,3635,75,3560,835,405,430
1102,"0.5% or under","2016 to 2021",285,160,0,160,130,70,55
1102,"0.6% to 1.25%","Total",12430,7425,2030,5395,5010,1095,3915
1102,"0.6% to 1.25%","Before 2016",11965,7105,1945,5160,4860,1010,3850
1102,"0.6% to 1.25%","2016 to 2021",470,320,85,240,150,85,60
1102,"1.26% to 2%","Total",12235,7045,6530,515,5195,335,4855
1102,"1.26% to 2%","Before 2016",11190,6625,6160,465,4565,325,4245
1102,"1.26% to 2%","2016 to 2021",1050,420,375,50,630,15,615
1102,"2.1% to 3%","Total",5635,4115,4045,70,1515,25,1500
1102,"2.1% to 3%","Before 2016",4630,3635,3560,70,995,15,975
1102,"2.1% to 3%","2016 to 2021",1005,485,485,0,520,0,520
1102,"3.1% or over","Total",1595,1465,1445,20,125,0,120
1102,"3.1% or over","Before 2016",1225,1125,1110,0,105,0,95
1102,"3.1% or over","2016 to 2021",365,340,340,0,25,0,25
1103,"Total","Total",19320,13710,7280,6435,5610,1175,4440
1103,"Total","Before 2016",18200,13105,6845,6260,5095,1050,4040
1103,"Total","2016 to 2021",1125,605,435,170,515,125,395
1103,"1+ person with limitation","Total",1920,1375,1020,355,545,100,450
1103,"1+ person with limitation","Before 2016",1830,1320,975,345,510,85,425
