"dguid","var","1per","2per","3per","4per","5per"
3518039,"living_income",43520,61550,75380,87040,97320
3519028,"mbm",27430,38790,47500,54850,61330
3519028,"living_income",43970,62190,76170,87950,98330
3519036,"mbm",28950,40940,50140,57900,64730
3519036,"living_income",46410,65640,80390,92820,103780
3519038,"mbm",29970,42390,51910,59950,67020
3519038,"living_income",47980,67860,83110,95970,107290
3519044,"mbm",27670,39130,47930,55340,61880
3519044,"living_income",44360,62730,76830,88710,99190
3519046,"mbm",28270,39980,48970,56540,63220
3519046,"living_income",45290,64040,78440,90570,101260
3519048,"mbm",28610,40460,49550,57220,63970
3519048,"living_income",45850,64850,79420,91710,102530
3519049,"mbm",26350,37270,45640,52710,58930
3519049,"living_income",42270,59770,73210,84530,94510
